vid_name;labeled_train_SVO_ts
s01e11_seg02_clip_04;[9]
s01e11_seg02_clip_05;[17, 29, 41, 2]
s01e11_seg02_clip_06;[15, 17, 17, 15, 5, 41, 14, 14]
s01e11_seg02_clip_07;[6, 6, 14, 42]
s01e11_seg02_clip_08;[41, 41, 29]
s01e11_seg02_clip_09;[41, 9, 41, 42, 42]
s01e11_seg02_clip_10;[]
s01e11_seg02_clip_11;[17, 9, 9, 9, 41, 33, 6, 6, 6, 30, 6, 6]
s01e11_seg02_clip_12;[6, 14, 14, 2]
s01e11_seg02_clip_13;[17, 14]
s01e11_seg02_clip_14;[41, 41, 14, 41, 28]
s01e11_seg02_clip_15;[31, 31]
s01e11_seg02_clip_16;[17, 6, 17]
s01e11_seg02_clip_17;[31, 31, 24, 28, 14, 14, 24, 28]
s01e12_seg01_clip_00;[24, 14, 24]
s01e12_seg01_clip_01;[14, 14]
s01e12_seg02_clip_00;[17, 14, 2]
s01e12_seg02_clip_01;[24, 24, 11, 42]
s01e12_seg02_clip_02;[2, 28, 2, 28, 31, 38]
s01e12_seg02_clip_03;[9, 17, 30, 30, 41]
s01e12_seg02_clip_04;[]
s01e12_seg02_clip_05;[42, 41]
s01e12_seg02_clip_06;[9, 11, 19, 28]
s01e12_seg02_clip_07;[30, 14, 17, 17, 0, 0, 0]
s01e12_seg02_clip_08;[17, 30, 17, 42, 30, 30, 17]
s01e12_seg02_clip_09;[33, 28, 30, 33]
s01e12_seg02_clip_10;[]
s01e12_seg02_clip_11;[]
s01e12_seg02_clip_12;[41, 41, 41, 9, 41, 41, 42, 6]
s01e12_seg02_clip_13;[41]
s01e12_seg02_clip_14;[41]
s01e12_seg02_clip_15;[31]
s01e12_seg02_clip_16;[9, 17]
s01e13_seg01_clip_00;[41, 41, 14, 42, 41, 41, 41, 19]
s01e13_seg01_clip_01;[2, 11, 14, 9, 14, 41, 14]
s01e13_seg02_clip_00;[24, 38, 24, 24, 24, 41, 41, 6]
s01e13_seg02_clip_01;[31]
s01e13_seg02_clip_02;[28, 8, 8]
s01e13_seg02_clip_03;[]
s01e13_seg02_clip_04;[6, 17, 6, 21, 17, 6]
s01e13_seg02_clip_05;[11, 24, 19, 11, 19, 24]
s01e13_seg02_clip_06;[]
s01e13_seg02_clip_07;[41]
s01e13_seg02_clip_08;[24, 28, 41]
s01e13_seg02_clip_09;[41, 28, 17]
s01e13_seg02_clip_10;[31, 31, 31, 31]
s01e13_seg02_clip_11;[17]
s01e13_seg02_clip_12;[]
s01e13_seg02_clip_13;[6]
s01e13_seg02_clip_14;[14, 19, 19, 6]
s01e13_seg02_clip_15;[]
s01e13_seg02_clip_16;[24, 14, 28, 28, 28, 28, 6, 40, 33]
s01e13_seg02_clip_17;[19, 28, 28, 31, 31, 28, 28, 28]
s01e14_seg01_clip_00;[24, 24, 23, 23, 23, 24, 2]
s01e14_seg01_clip_01;[38, 38, 41]
s01e14_seg02_clip_00;[]
s01e14_seg02_clip_01;[28, 40, 40, 42]
s01e14_seg02_clip_02;[28, 17]
s01e14_seg02_clip_03;[]
s01e14_seg02_clip_04;[5, 5, 41]
s01e14_seg02_clip_05;[40, 40, 40]
s01e14_seg02_clip_06;[]
s01e14_seg02_clip_07;[37]
s01e14_seg02_clip_08;[14, 9, 28, 14, 31, 14, 2]
s01e14_seg02_clip_09;[28]
s01e14_seg02_clip_10;[31, 30, 6, 30, 30, 30, 41]
s01e14_seg02_clip_11;[14, 9, 17, 26, 26, 26]
s01e14_seg02_clip_12;[8, 6, 2]
s01e14_seg02_clip_13;[2, 41, 11]
s01e14_seg02_clip_14;[2, 2, 6, 30, 9, 30, 6, 41]
s01e14_seg02_clip_15;[11, 26, 41]
s01e14_seg02_clip_16;[]
s01e15_seg01_clip_00;[6, 6]
s01e15_seg01_clip_01;[19, 19, 38, 6]
s01e15_seg01_clip_02;[]
s01e15_seg02_clip_00;[31, 21]
s01e15_seg02_clip_01;[]
s01e15_seg02_clip_02;[41]
s01e15_seg02_clip_03;[11, 2, 41, 41]
s01e15_seg02_clip_04;[41, 2]
s01e15_seg02_clip_05;[28, 28, 28]
s01e15_seg02_clip_06;[38, 37, 33]
s01e15_seg02_clip_07;[21, 2, 21, 30]
s01e15_seg02_clip_08;[21]
s01e15_seg02_clip_09;[41, 33, 2]
s01e15_seg02_clip_10;[11]
s01e15_seg02_clip_11;[]
s01e15_seg02_clip_12;[]
s01e15_seg02_clip_13;[6]
s01e15_seg02_clip_14;[28, 28, 30, 4, 30, 28, 28, 28]
s01e15_seg02_clip_15;[41, 28, 28, 29]
s01e15_seg02_clip_16;[]
s01e15_seg02_clip_17;[38, 31, 38]
s01e16_seg01_clip_00;[2, 28]
s01e16_seg01_clip_01;[35, 29, 11, 17]
s01e16_seg01_clip_02;[9, 14, 14, 14, 14]
s01e16_seg02_clip_00;[30, 30, 21]
s01e16_seg02_clip_01;[]
s01e16_seg02_clip_02;[]
s01e16_seg02_clip_03;[30, 41, 17, 17, 2, 11]
s01e16_seg02_clip_04;[]
s01e16_seg02_clip_05;[6, 41, 6, 6, 30, 31, 31]
s01e16_seg02_clip_06;[]
s01e16_seg02_clip_07;[24, 30, 6, 21, 33, 21]
s01e16_seg02_clip_08;[]
s01e16_seg02_clip_09;[6, 6, 6]
s01e16_seg02_clip_10;[28, 40]
s01e16_seg02_clip_11;[6, 29, 6]
s01e16_seg02_clip_12;[2, 2, 24, 6]
s01e16_seg02_clip_13;[41]
s01e16_seg02_clip_14;[17, 17]
s01e16_seg02_clip_15;[]
s01e17_seg01_clip_00;[41, 9, 6, 30, 8, 8]
s01e17_seg02_clip_00;[19, 33, 41, 28]
s01e17_seg02_clip_01;[41, 21, 21, 41]
s01e17_seg02_clip_02;[]
s01e17_seg02_clip_03;[17, 28, 19, 41, 41, 11, 11, 17, 38, 11, 41, 24]
s01e17_seg02_clip_04;[24, 29, 41, 2]
s01e17_seg02_clip_05;[31, 31, 21, 28, 28, 31, 31, 2, 11, 21]
s01e17_seg02_clip_06;[17, 33, 30, 17]
s01e17_seg02_clip_07;[]
s01e17_seg02_clip_08;[]
s01e17_seg02_clip_09;[6]
s01e17_seg02_clip_10;[28, 6, 28, 33, 41]
s01e17_seg02_clip_11;[]
s01e17_seg02_clip_12;[17, 41]
s01e17_seg02_clip_13;[14, 2]
s01e17_seg02_clip_14;[2, 14]
s01e17_seg02_clip_15;[31, 35, 38, 35, 2]
s01e17_seg02_clip_16;[26, 2, 2, 6]
s02e01_seg01_clip_00;[26, 26, 26, 26, 26, 26, 42, 42]
s02e01_seg01_clip_01;[41, 42, 26, 26, 30, 17]
s02e01_seg01_clip_02;[14, 14, 14, 14]
s02e01_seg01_clip_03;[40, 26, 26]
s02e01_seg02_clip_00;[28, 42, 6, 28, 35]
s02e01_seg02_clip_01;[2]
s02e01_seg02_clip_02;[28, 11]
s02e01_seg02_clip_03;[11]
s02e01_seg02_clip_04;[]
s02e01_seg02_clip_05;[21, 21, 21, 28, 15]
s02e01_seg02_clip_06;[28, 6, 40, 40, 2, 40, 41]
s02e01_seg02_clip_07;[]
s02e01_seg02_clip_08;[6, 30, 17, 8, 8, 17, 17]
s02e01_seg02_clip_09;[21, 21, 30, 21, 30, 21, 21, 6, 30]
s02e01_seg02_clip_10;[19, 0, 0, 19, 14, 14, 19, 2]
s02e01_seg02_clip_11;[]
s02e01_seg02_clip_12;[40, 41]
s02e01_seg02_clip_13;[17, 21, 30, 9, 30, 31, 30, 19, 19, 2, 8]
s02e01_seg02_clip_14;[17, 9, 14, 14, 2, 14]
s02e01_seg02_clip_15;[41, 6, 31, 31, 30, 17]
s02e01_seg02_clip_16;[41, 21, 33, 17, 41, 17]
s02e02_seg01_clip_00;[]
s02e02_seg01_clip_01;[21, 30]
s02e02_seg02_clip_00;[41, 41, 41, 2]
s02e02_seg02_clip_01;[6]
s02e02_seg02_clip_02;[2, 21, 21, 14, 14, 8, 2]
s02e02_seg02_clip_03;[41, 14, 14, 7]
s02e02_seg02_clip_04;[]
s02e02_seg02_clip_05;[28]
s02e02_seg02_clip_06;[]
s02e02_seg02_clip_07;[28, 29, 14, 31, 11, 9, 21, 21]
s02e02_seg02_clip_08;[33, 17]
s02e02_seg02_clip_09;[11, 30, 30, 30, 11, 21]
s02e02_seg02_clip_10;[17, 33, 14, 6, 26, 30]
s02e02_seg02_clip_11;[41, 24, 24, 24, 24, 24, 2]
s02e02_seg02_clip_12;[28, 42, 42]
s02e02_seg02_clip_13;[29, 29, 41, 14, 14]
s02e02_seg02_clip_14;[]
s02e02_seg02_clip_15;[2]
s02e02_seg02_clip_16;[]
s02e02_seg02_clip_17;[9, 41]
s02e03_seg01_clip_00;[2, 3, 30, 19, 30, 2, 30, 2, 19, 19]
s02e03_seg01_clip_01;[41, 11, 11, 2]
s02e03_seg01_clip_02;[28, 41, 28]
s02e03_seg02_clip_00;[9, 14, 2, 6, 2, 2, 37]
s02e03_seg02_clip_01;[28, 19, 17, 17]
s02e03_seg02_clip_02;[41, 17, 14, 14, 35]
s02e03_seg02_clip_03;[6, 6, 41]
s02e03_seg02_clip_04;[41, 21, 30]
s02e03_seg02_clip_05;[]
s02e03_seg02_clip_06;[]
s02e03_seg02_clip_07;[]
s02e03_seg02_clip_08;[7, 33]
s02e03_seg02_clip_09;[]
s02e03_seg02_clip_10;[14, 14]
s02e03_seg02_clip_11;[36, 24, 24, 24, 29]
s02e03_seg02_clip_12;[]
s02e03_seg02_clip_13;[41]
s02e03_seg02_clip_14;[14, 9, 28, 28]
s02e03_seg02_clip_15;[2, 31, 14]
s02e03_seg02_clip_16;[6]
s02e04_seg01_clip_00;[28, 28, 30, 30, 30, 31, 31, 40, 14, 17, 6, 31]
s02e04_seg01_clip_01;[14, 14, 21, 26, 2, 19, 38]
s02e04_seg01_clip_02;[41, 41, 24, 14, 14, 2, 14]
s02e04_seg01_clip_03;[28, 28, 24, 41, 41, 14, 41, 14, 8, 41]
s02e04_seg02_clip_00;[17]
s02e04_seg02_clip_01;[28, 21, 21, 21]
s02e04_seg02_clip_02;[4, 30, 17, 17, 17]
s02e04_seg02_clip_03;[]
s02e04_seg02_clip_04;[41, 11, 2, 11]
s02e04_seg02_clip_05;[]
s02e04_seg02_clip_06;[11, 11, 6]
s02e04_seg02_clip_07;[]
s02e04_seg02_clip_08;[]
s02e04_seg02_clip_09;[41]
s02e04_seg02_clip_10;[17, 31, 31, 28, 17, 2, 7, 41]
s02e04_seg02_clip_11;[11, 2, 41]
s02e04_seg02_clip_12;[9, 24, 24, 24, 6]
s02e04_seg02_clip_13;[41, 2]
s02e04_seg02_clip_14;[41, 38, 5, 17]
s02e04_seg02_clip_15;[41]
s02e05_seg01_clip_00;[41, 30]
s02e05_seg01_clip_01;[28, 30, 40, 4]
s02e05_seg02_clip_00;[]
s02e05_seg02_clip_01;[24, 17, 28, 2]
s02e05_seg02_clip_02;[28, 17, 41]
s02e05_seg02_clip_03;[28, 19, 19, 27]
s02e05_seg02_clip_04;[]
s02e05_seg02_clip_05;[2, 30, 19, 37, 27]
s02e05_seg02_clip_06;[14, 14, 14, 31, 31, 41]
s02e05_seg02_clip_07;[28, 6, 42, 42]
s02e05_seg02_clip_08;[28]
s02e05_seg02_clip_09;[]
s02e05_seg02_clip_10;[40, 40, 14]
s02e05_seg02_clip_11;[]
s02e05_seg02_clip_12;[17, 9, 41, 19, 19, 19, 19, 2]
s02e05_seg02_clip_13;[14]
s02e05_seg02_clip_14;[6, 24]
s02e05_seg02_clip_15;[21, 0]
s02e06_seg01_clip_00;[41, 41, 11, 33, 41, 17]
s02e06_seg01_clip_01;[6]
s02e06_seg02_clip_00;[6, 6, 6, 6]
s02e06_seg02_clip_01;[14]
s02e06_seg02_clip_02;[14, 41, 38, 24]
s02e06_seg02_clip_03;[]
s02e06_seg02_clip_04;[21, 21, 14, 14, 14]
s02e06_seg02_clip_05;[]
s02e06_seg02_clip_06;[2, 10]
s02e06_seg02_clip_07;[41, 41]
s02e06_seg02_clip_08;[17, 24, 21, 6, 17]
s02e06_seg02_clip_09;[28, 6, 30, 11]
s02e06_seg02_clip_10;[]
s02e06_seg02_clip_11;[9, 4, 19, 30]
s02e06_seg02_clip_12;[9, 41, 4, 19, 28]
s02e06_seg02_clip_13;[3]
s02e06_seg02_clip_14;[]
s02e06_seg02_clip_15;[]
s02e06_seg02_clip_16;[24]
s02e06_seg02_clip_17;[17, 24, 24, 24, 14, 14, 2, 6]
s02e07_seg01_clip_00;[31]
s02e07_seg01_clip_01;[41]
s02e07_seg01_clip_02;[19, 11, 14]
s02e07_seg02_clip_00;[17, 19, 28, 28]
s02e07_seg02_clip_01;[37, 30, 11, 31, 33, 17, 14]
s02e07_seg02_clip_02;[8, 11, 11, 20, 8]
s02e07_seg02_clip_03;[31, 30, 8]
s02e07_seg02_clip_04;[]
s02e07_seg02_clip_05;[6, 19]
s02e07_seg02_clip_06;[]
s02e07_seg02_clip_07;[38, 38, 2]
s02e07_seg02_clip_08;[41, 41, 17, 41]
s02e07_seg02_clip_09;[19, 41, 41, 21, 6]
s02e07_seg02_clip_10;[41, 41, 6]
s02e07_seg02_clip_11;[6, 6, 9, 9]
s02e07_seg02_clip_12;[41]
s02e07_seg02_clip_13;[6, 31, 4]
s02e07_seg02_clip_14;[31, 31, 6]
s02e07_seg02_clip_15;[24, 41, 30, 4]
s02e07_seg02_clip_16;[]
s02e08_seg01_clip_00;[9, 28, 2]
s02e08_seg01_clip_01;[]
s02e08_seg01_clip_02;[28, 40, 17]
s02e08_seg02_clip_00;[2, 6, 2, 2]
s02e08_seg02_clip_01;[]
s02e08_seg02_clip_02;[]
s02e08_seg02_clip_03;[9, 17, 17]
s02e08_seg02_clip_04;[]
s02e08_seg02_clip_05;[]
s02e08_seg02_clip_06;[7, 41]
s02e08_seg02_clip_07;[19, 19, 19, 41]
s02e08_seg02_clip_08;[24, 29]
s02e08_seg02_clip_09;[]
s02e08_seg02_clip_10;[41]
s02e08_seg02_clip_11;[41, 11]
s02e08_seg02_clip_12;[5, 26, 17]
s02e08_seg02_clip_13;[33]
s02e08_seg02_clip_14;[17, 24, 24, 29, 41]
s02e08_seg02_clip_15;[]
s02e09_seg01_clip_00;[28, 17, 6, 6, 17, 17]
s02e09_seg01_clip_01;[38]
s02e09_seg01_clip_02;[41, 41, 41, 28, 30, 30]
s02e09_seg02_clip_00;[2]
s02e09_seg02_clip_01;[28, 28, 29]
s02e09_seg02_clip_02;[]
s02e09_seg02_clip_03;[23, 23]
s02e09_seg02_clip_04;[]
s02e09_seg02_clip_05;[4, 4, 6]
s02e09_seg02_clip_06;[]
s02e09_seg02_clip_07;[23]
s02e09_seg02_clip_08;[23, 23, 23, 6, 2, 14]
s02e09_seg02_clip_09;[41, 4]
s02e09_seg02_clip_10;[31, 28, 30, 6]
s02e09_seg02_clip_11;[28]
s02e09_seg02_clip_12;[28, 31]
s02e09_seg02_clip_13;[41]
s02e09_seg02_clip_14;[29, 31]
s02e09_seg02_clip_15;[29, 29, 31, 28, 1]
s02e09_seg02_clip_16;[]
s02e10_seg01_clip_00;[41, 11]
s02e10_seg01_clip_01;[41, 20, 14]
s02e10_seg01_clip_02;[41, 20, 19, 30]
s02e10_seg02_clip_00;[28, 41, 41]
s02e10_seg02_clip_01;[6, 11]
s02e10_seg02_clip_02;[6]
s02e10_seg02_clip_03;[11, 11, 11, 30, 40]
s02e10_seg02_clip_04;[41, 28, 2, 41]
s02e10_seg02_clip_05;[24, 6, 24, 14]
s02e10_seg02_clip_06;[31, 6, 17, 31, 17, 6]
s02e10_seg02_clip_07;[35, 28, 35, 31, 28]
s02e10_seg02_clip_08;[31, 21, 2, 21, 31]
s02e10_seg02_clip_09;[14, 17]
s02e10_seg02_clip_10;[]
s02e10_seg02_clip_11;[41, 28]
s02e10_seg02_clip_12;[6, 2]
s02e10_seg02_clip_13;[2, 2]
s02e10_seg02_clip_14;[2]
s02e10_seg02_clip_15;[24, 11, 41, 4, 11, 11, 11, 2, 14, 14, 14]
s02e10_seg02_clip_16;[4, 41, 30, 19]
s02e11_seg01_clip_00;[41]
s02e11_seg01_clip_01;[]
s02e11_seg01_clip_02;[0]
s02e11_seg02_clip_00;[2, 35, 41]
s02e11_seg02_clip_01;[41, 9, 30]
s02e11_seg02_clip_02;[41, 14, 41, 41, 14, 6, 38, 20]
s02e11_seg02_clip_03;[41, 14]
s02e11_seg02_clip_04;[31]
s02e11_seg02_clip_05;[17]
s02e11_seg02_clip_06;[30]
s02e11_seg02_clip_07;[]
s02e11_seg02_clip_08;[31, 31]
s02e11_seg02_clip_09;[41]
s02e11_seg02_clip_10;[24, 14, 6]
s02e11_seg02_clip_11;[21, 21, 21, 6, 6, 6, 35, 24, 4, 24, 14]
s02e11_seg02_clip_12;[31, 6]
s02e11_seg02_clip_13;[24, 14, 24, 14, 30, 9, 30, 17, 6, 31, 30]
s02e11_seg02_clip_14;[31, 38, 30]
s02e11_seg02_clip_15;[17, 9, 11, 41, 2, 31]
s02e11_seg02_clip_16;[14, 9, 14, 41, 6, 41, 41, 31]
s02e12_seg01_clip_00;[31]
s02e12_seg01_clip_01;[2, 41]
s02e12_seg02_clip_00;[27]
s02e12_seg02_clip_01;[41]
s02e12_seg02_clip_02;[41, 14, 19, 19, 19, 19, 19, 19]
s02e12_seg02_clip_03;[14, 14, 14, 14]
s02e12_seg02_clip_04;[8, 14, 40]
s02e12_seg02_clip_05;[2, 2]
s02e12_seg02_clip_06;[41, 30, 17, 4]
s02e12_seg02_clip_07;[31]
s02e12_seg02_clip_08;[]
s02e12_seg02_clip_09;[]
s02e12_seg02_clip_10;[19, 21, 17, 3, 30]
s02e12_seg02_clip_11;[41, 19, 0, 19, 0, 19, 0, 6, 11, 14, 14, 30]
s02e12_seg02_clip_12;[]
s02e12_seg02_clip_13;[9, 26]
s02e12_seg02_clip_14;[]
s02e12_seg02_clip_15;[38, 33]
s02e12_seg02_clip_16;[17, 17]
s02e12_seg02_clip_17;[0]
s02e13_seg01_clip_00;[24, 14]
s02e13_seg01_clip_01;[]
s02e13_seg01_clip_02;[24, 41, 14]
s02e13_seg02_clip_00;[24, 38, 35, 14, 14]
s02e13_seg02_clip_01;[33, 11, 4, 33]
s02e13_seg02_clip_02;[28, 30, 31, 31, 19]
s02e13_seg02_clip_03;[31, 31]
s02e13_seg02_clip_04;[17, 33, 41]
s02e13_seg02_clip_05;[41, 11, 11, 2]
s02e13_seg02_clip_06;[11, 21, 20, 11, 2, 21]
s02e13_seg02_clip_07;[]
s02e13_seg02_clip_08;[28, 41, 41, 40, 6, 40, 17, 17, 17]
s02e13_seg02_clip_09;[31, 29, 11, 11, 17, 17]
s02e13_seg02_clip_10;[]
s02e13_seg02_clip_11;[]
s02e13_seg02_clip_12;[]
s02e13_seg02_clip_13;[28, 28, 17]
